date,headline,url
02-Jan-2024,siemens shares decline 0 53 as sensex slides,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,vedanta stock price down 0 77 per cent as sensex slides,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,stock market update stocks that hit 52 week lows on nse,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,bank of baroda shares drop 1 36 as sensex falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,stock market update power stocks up as market falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,voltas shares decline 0 43 as sensex slides,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,stock market update nifty bank index falls 0 45 in a weak market,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,sensex falls these stocks are down 5 or more on bse,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,stock market update fertilisers stocks up as market falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,banking and it stocks drag sensex 100 points lower nifty near 21700,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,stock market update sugar stocks up as market falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,srf shares drop 0 36 as sensex falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,stock market update mining stocks down as market falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,pi industries shares decline 0 1 as sensex slides,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,stock market update nifty realty index advances 0 73 in a weak market,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,bharat forge shares up 0 12 as nifty drops,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,bajaj holdings shares up 0 99 as nifty falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,colgate palmolive shares drop 0 26 as sensex falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,stock market update nifty pharma index falls 0 17 in a weak market,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,sbi card shares drop 0 37 as sensex falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,lupin shares up 4 07 as sensex falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,share price of havells india falls as sensex drops 170 12 points,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,24k in 2024 nifty can deliver double digit returns says jefferies adds adani ports,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,stock market crashes and leap years have a bloody history will 2024 pass away peacefully,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,nifty auto index stocks time for some cool down before the next leg is led by ev launches,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,tata power shares drop 1 15 as sensex falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,crompton greaves shares drop 1 41 as sensex falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,acc rises 0 57 as sensex slides,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,shree cements shares drop 0 97 as sensex falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,share price of tata elxsi falls as nifty weakens,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,share price of zee ent falls as nifty weakens,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
02-Jan-2024,chola inv finance shares up 0 05 as sensex falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45293.cms"
03-Jan-2024,stock market update nifty pharma index falls 0 17,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45294.cms"
03-Jan-2024,tech view as a sell on rise strategy is in play what nifty traders should do on thursday expiry,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45294.cms"
03-Jan-2024,stock market update nifty auto index advances 1 14,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45294.cms"
03-Jan-2024,stock market update mining stocks down as market falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45294.cms"
03-Jan-2024,sensex extends losing run to 2nd day slides 536 pts nifty below 21550 ahead of fed minutes,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45294.cms"
03-Jan-2024,sensex falls these stocks fell 5 or more in wednesdays session,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45294.cms"
03-Jan-2024,nifty bank falls for 4th day in a row next support seen at 20 dma,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45294.cms"
03-Jan-2024,stock market update stocks that hit 52 week lows on nse in todays trade,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45294.cms"
03-Jan-2024,stock market update stocks that hit 52 week highs on nse in todays trade,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45294.cms"
03-Jan-2024,stock market update nifty bank index falls 0 45,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45294.cms"
03-Jan-2024,stock market update nifty realty index advances 0 73,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45294.cms"
03-Jan-2024,stock market update sugar stocks up as market falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45294.cms"
03-Jan-2024,avenue supermart shares down 3 78 as nifty drops,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45294.cms"
03-Jan-2024,bank of baroda shares rise 1 73 as nifty drops,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45294.cms"
03-Jan-2024,ltimindtree shares fall 2 91 as nifty drops,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45294.cms"
03-Jan-2024,shares of ashok leyland fall as nifty drops,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45294.cms"
03-Jan-2024,tube investments shares down 2 59 as nifty falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45294.cms"
03-Jan-2024,tata power shares fall 0 69 as nifty drops,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45294.cms"
03-Jan-2024,share price of bharat forge falls as nifty weakens,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45294.cms"
03-Jan-2024,icici lombard shares drop 2 72 as sensex falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45294.cms"
03-Jan-2024,zee ent shares gain 0 45 as sensex falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45294.cms"
03-Jan-2024,shares of gail fall as nifty drops,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45294.cms"
03-Jan-2024,pidilite ind shares rise 1 25 as nifty drops,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45294.cms"
03-Jan-2024,marico shares down 0 4 as nifty drops,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45294.cms"
03-Jan-2024,stock market update nifty pharma index falls 0 17 in a weak market,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45294.cms"
03-Jan-2024,stock market update mining stocks down as market falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45294.cms"
03-Jan-2024,godrej consumer shares gain 0 41 as sensex falls,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45294.cms"
03-Jan-2024,stock market update stocks that hit 52 week lows on nse,"https://economictimes.indiatimes.com/archivelist/year-2024,month-1,starttime-45294.cms"
